Date;AUD;CAD;CHF;DKK;EUR;GBP;HKD;JPY;MXN;NOK;NZD;SEK;SGD;USD;;
01/01/2008;0.882342857;0.990197049;0.908630694;0.197726149;1.472814286;1.9702;0.128133239;0.009274881;0.091695289;0.185210501;0.774;0.156304427;0.699326316;1;;
01/02/2008;0.913255;1.001401963;0.918286294;0.197992357;1.475945;1.9646;0.128265314;0.009343175;0.092868748;0.185696366;0.7969;0.157605531;0.708923217;1;;
01/03/2008;0.922114286;0.997108386;0.987570717;0.208146868;1.552019048;2.0015;0.128513466;0.009924948;0.093172704;0.194192534;0.8004;0.164980721;0.722406646;1;;
01/04/2008;0.930909091;0.986485153;0.986348046;0.211175402;1.575363636;1.9816;0.128353003;0.009739211;0.095105812;0.197858274;0.7897;0.168152781;0.732988829;1;;
01/05/2008;0.94922381;1.00070049;0.95712098;0.208494047;1.555414286;1.965;0.128225247;0.009582259;0.09580257;0.197743465;0.7777;0.166981546;0.732092495;1;;
01/06/2008;0.951119048;0.98367106;0.964209463;0.20865501;1.556171429;1.9664;0.128085097;0.009353204;0.096834302;0.194736549;0.7616;0.16597694;0.731067951;1;;
01/07/2008;0.961972727;0.987166831;0.972500343;0.211260167;1.575863636;1.9888;0.128203709;0.009358755;0.097949123;0.195855694;0.7546;0.16662602;0.735800718;1;;
01/08/2008;0.88147619;0.949216896;0.922460598;0.200424901;1.495538095;1.8865;0.128080801;0.009143912;0.098858886;0.187506697;0.7091;0.159122734;0.71162559;1;;
01/09/2008;0.81682381;0.945000945;0.900773378;0.192233756;1.434166667;1.7973;0.128445866;0.009383085;0.093779767;0.175566788;0.6739;0.149664431;0.699431129;1;;
01/10/2008;0.68695;0.844095552;0.874932392;0.177768297;1.326627273;1.6862;0.128886212;0.01000341;0.078993451;0.153911162;0.6077;0.134344582;0.676413165;1;;
01/11/2008;0.659094444;0.821625175;0.839607064;0.171092253;1.274422222;1.5327;0.129020235;0.01031294;0.076227808;0.144320738;0.5664;0.125609906;0.663301028;1;;
01/12/2008;0.671913636;0.810569831;0.876916761;0.181031518;1.351145455;1.4854;0.129025372;0.010955902;0.074533825;0.142534312;0.5597;0.124806621;0.677073075;1;;
01/01/2009;0.675425;0.81645983;0.887575277;0.177670386;1.324445;1.4462;0.128927286;0.011096254;0.072026105;0.14374797;0.551;0.123389383;0.670540154;1;;
01/02/2009;0.650415789;0.803083842;0.859149261;0.171744581;1.279684211;1.4422;0.1289762;0.010762433;0.068462079;0.145539892;0.516;0.11702015;0.65883691;1;;
01/03/2009;0.666568182;0.790826414;0.865422818;0.175017939;1.305031818;1.417;0.128982178;0.010219202;0.068275168;0.147372384;0.5336;0.116649487;0.653761805;1;;
01/04/2009;0.715827273;0.81685999;0.871031856;0.177188724;1.319890909;1.4712;0.129029912;0.010109179;0.074607202;0.150246541;0.5729;0.121510441;0.665426554;1;;
01/05/2009;0.7648;0.867453158;0.902853016;0.183200513;1.364585;1.5418;0.129015944;0.0103472;0.075817742;0.155029266;0.6014;0.128863156;0.684418193;1;;
01/06/2009;0.802481818;0.887784091;0.925178307;0.188242381;1.401445455;1.6369;0.129024615;0.010350408;0.074954576;0.156457684;0.6386;0.128749161;0.688590986;1;;
01/07/2009;0.804873913;0.890551251;0.927666234;0.189261313;1.409165217;1.6378;0.129032475;0.01059693;0.074837245;0.157317127;0.6444;0.130134956;0.69000897;1;;
01/08/2009;0.835347619;0.919793966;0.936104202;0.191666347;1.42662381;1.6532;0.129022428;0.010537725;0.076885901;0.164731464;0.6766;0.139739526;0.693485856;1;;
01/09/2009;0.862209524;0.924556213;0.962415388;0.195828846;1.457514286;1.6323;0.129027263;0.010955931;0.07459328;0.169473333;0.7046;0.142977847;0.703230171;1;;
